term,definition
machine learning,When a machine learns how to do something or know the potential next steps (without us telling it what to do next). 
machine learning,Machine learning is the process of continual data input into a predictive model or program to teach a desired behavior or achieve a particular output.
artificial intelligence,A machine acting like a human
artificial intelligence,Computer that is programmed to self-teach 
artificial intelligence,"A computer that can make decisions based on prior knowledge, history, or patterns it's interacted with or been trained on."
artificial intelligence,Artificial intelligence is the ability a machine has to make assumptions and act on them.  
artificial intelligence,An automated generative system that is supported by machine learning as an underlying framework enabling advanced intelligent processes. 
artificial intelligence,Artificial intelligence is the recommendation/output of a complicated if/this/then/that statements paired with large data sets
artificial intelligence,"A process by which algorithms, when paired with data, can be used to perform a function that mimics human thought patterns. "
artificial intelligence,The way how computer thinks? Computer thinking route...?
artificial intelligence,AI is a system that tries to emulate how human thinks in order to make decisions. ?
artificial intelligence,"A machine that can ""think"". When a machine is trained enough that it think and chose."
artificial intelligence,a trained machine that is able to infer things on its own based on what it has learned previously
artificial intelligence,It is an intelligence that human made. It can be the brain of a trained machine.
artificial intelligence,"artificial intelligence is the intelligence of machines that have been trained by machine learning algorithms, producing outcomes / solutions that would mimic human intelligence. (best case scenario)"
artificial intelligence,Artificial intelligence is code designed to mimic and enhance human pattern recognition.
artificial intelligence,autonomous self reinforcing learning capable systems originated from human beings
artificial intelligence,Predictive use of higher order non-linear algorithms that can be updated in a complex way.
artificial intelligence,"Artificial intelligence is the umbrella term for all subgenres of computer learning, which includes machine learning."
artificial intelligence,Artificial intelligent is one destination of machine learning.
artificial intelligence,It's artificial intelligence.
artificial intelligence,"AI is a subset of machine learning, where the machine can actually teach itself to be better and better, more than what you create in the algorithm potentially."
artificial intelligence,"AI is a program that has access to machine learning algorithms, allowing it to mimic pattern recognition ability of human intelligence."
artificial intelligence,Man-made intelligence that builds up its logic throughout the series of data input given by people. It pretends it has a sort of intelligence but it can't teach itself without data input.
artificial intelligence,It tries to act like human brains thought process that is the main ultimate goal of artificial intelligence.
artificial intelligence,Information or the process of collecting information through an algorithm/machine learning (non-human intelligence) 
artificial intelligence,An automated generative system that is supported by machine learning as an underlying framework enabling advanced intelligent processes. 
artificial intelligence,analyzing whatever patterns and copying them.
artificial intelligence,"I think that true A.I. is conscious, unobserved, autonomous. When people use ""A.I."" they really mean ML. The phrase ""A.I."" is good for marketing. "
artificial intelligence,Artificial Intelligence is making an application that attempts to understand the problem and solve it for us. 
artificial intelligence,a trained machine that is able to infer things on its own based on what it has learned previously
artificial intelligence,"A (computer program), modeled after the human mind, able to make decisions, show logic, exhibit ""intelligent"" behavior. "
artificial intelligence,a trained machine that is able to infer things on its own based on what it has learned previously
artificial intelligence,One or group of machines can have intelligence(or better than) as human. 
artificial intelligence,a type of machine learning
artificial intelligence,"Based on machine learning, AI ask machines to take over some repetitive work( or may be creative work in the future). Also, AI learns lot about customer behavior currently "
artificial intelligence,"Artificial intelligence is defined differently depending on who is defining it. It refers to the capability of a machine to think intelligently - defined as the capability to think creatively, teach itself and/or modify its own code."
artificial intelligence,Artificial intelligence is the skill of a non human object to use learned experience in order to to do something including the skill to improve this  experience by self learning.
artificial intelligence,"The algorithm can be trained, adapted and can come up with decision based on trained data"
artificial intelligence,"Setting up computers to make decisions, based on inputs and logic that someone thinks is relevant."
artificial intelligence,The more intelligent older sibling to ML
artificial intelligence,"a highly advanced virtual robot, able to handle various complex tasks"
artificial intelligence,"The computer learns from the code it is given, allowing it to recognize certain things later without hardcoding everything"
artificial intelligence,"I use the terms Ai and ML interchangeably, but Ai would be when we use the final prediction to help us make a decision. "
artificial intelligence,A thinking machine/algorithm
artificial intelligence,it is a kind of thinking way or problem-solving skill that presented by machines which trained to think like humans by human being itself 
artificial intelligence,"The process of feeding data into a computer that has been calibrated with a set of variabled and structures, where the computer progressively refines and corrects its processing of the data with each subsequent new piece of information."
artificial intelligence,"The technological domain which enabled and prompted the making of ""smart"" and ""intuitive"" machines. Humans acted on the very humane characteristic - to find/create/imagine entities that are larger than us and life itself - and backed by science, went above and beyond to make ""man-made"" objects that are intelligent."
artificial intelligence,AI is when a program is able to learn and expand the set of situations it can respond to by non-explicit instruction
artificial intelligence,"""Artificial intelligence"" describes several aspirational projects. Current ML techniques constitute ""narrow artificial intelligence"" useful for making inferences from data. ""Artificial general intelligence (AGI)"" describes the aspiration of the emulation of human intelligence. ""Artificial superintelligence (ASI)"" describes the enterprise of exceeding human intelligence. However, there does not exist a consensus on the definition of intelligence, which makes a precise understanding of these comparative definitions difficult.
"
artificial intelligence,a type of intelligence found in machines created by using algorithms combined with big data and then reinforced or improved by training
artificial intelligence,"Used synonymous to ML in many cases. But if I had to differentiate, I would say that AI is the composition of many Machine Learning algorithms to simulate some type of intelligent behavior, which would be a type of interaction with the world that requires a level of processing. "
artificial intelligence,a synthetic entity that reacts and makes decisions based on a grow library of data; it does not generally behave emotionally
artificial intelligence,The learning of new programming behaviors and responses based on prior experience. 
artificial intelligence,Artificial intelligence is any number of means by which inorganic entities can imitate or surpass the adaptive abilities of human beings
artificial intelligence,"Machines, using computational power, are able to sort through data, learn the pattern these data signify, and generate new data from the pattern"
artificial intelligence,"In my opinion, AI is a kind of data-base assistant which can increase the efficiency and accuracy in many fields."
artificial intelligence,"I would define intelligence as the ability to react (in some cases deliberately) to inputs and have them trigger input-specific behaviour/reactions. I would also say that the realm of what AI can be is rather large and probably includes machines that we might not describe as ""smart"" yet somehow still possess a form of pre-programmed intelligence)"
artificial intelligence,machine imitate human
artificial intelligence,Teaching a computer how to behave on its own accord using a certain set of rules and experiences.
artificial intelligence,a synthetically created thing that can learn
artificial intelligence,computer program that is operating without set of instructions (ability to learn on itself and made its own decisions without human intervention) 
artificial intelligence,Intelligence from computational result.
artificial intelligence,a technique to simulate human-beings' learning process
artificial intelligence,A series of algorithmic procedures designed to think like a human or think better than a human
artificial intelligence,human made computer systems that can act like human?
artificial intelligence,"an attempt at allowing a machine to teach itself how to complete a task, occasionally with mixed results."
artificial intelligence,"I may have jumbled the definition of AI with machine learning, as seen in the previous response. I do believe that AI is a more advanced form of machine learning, which could be seen as the foundation upon which AI gets built. Both belong to the same branch of computer automation."
artificial intelligence,technology models that are trained thoroughly in multiple facets that are able to interact back with us 
artificial intelligence,Artificial intelligence is a process of work by a machine in a framework that has been created by Human. 
artificial intelligence,Intelligence created by human which can be utilized with code to fulfill the purpose.
artificial intelligence,"Technology that mimics the intelligence of a person by utilizing machine learning to educate itself, thus having a sense of 'intelligence' by 'improving' by itself."
artificial intelligence,"The ability of computer software to implement, create and update specific models"
artificial intelligence,"Using technology/machine learning/data science to mimic ""intelligence"" or ability to solve a problem that we find in living organisms (like animal's ability to think, but plants, fungi, etc. also posses intelligence)."
artificial intelligence,AI is using repetitive machining learning process to help machine building their own knowledge system to mimic  real humanbeings. 
artificial intelligence,"same with ML, but with more computation powers and complex datasets"
artificial intelligence,An idea/practice of human made entities with abilities to make better judgements literably 
artificial intelligence,Create something based on a set of data using machine learning.
artificial intelligence,the capacity for a machine to produce reasonable inferences through computation
artificial intelligence,Identifying and finding a correlation between data collected.
artificial intelligence,technology that has a set of instructions/database in order to perform a certain task/s
artificial intelligence,"It is the outcome of the deep neural network structure machine learning, able to provide the outcome from the target goal in an efficient way. "
artificial intelligence,Maybe based on the machine learning we can let machine to assist our all kinds of tasks or even interacts with human
artificial intelligence,"Similar to ML, an artificial system / machine that has been trained to do certain task?"
artificial intelligence,"Artificial intelligence is the overarching umbrella in which machine learning falls under, it is the ability for humans to train machines to learn, process and understand the inputs we give it with the intention of analyzing it, predicting from it, and/or generating from it. "
artificial intelligence,AI is algorithms that mimic human intelligence and can therefore generate similar (and in some cases more accurate) information or solutions
artificial intelligence,"AI is a product of ML in which it can perform a series of task based on certain input. Nowadays, AI represent those things that can perform complex task, such as expression in idea, language, emotion, even judgements on certain things and classified the input information and then desired answers."
artificial intelligence,Artificial Intelligence is when data is fed in a machine learning model and through multiple iterations and training. The model is able to predict the behaviors and perform variety of tasks based on the past events by analyzing the data.
artificial intelligence,"An AI is a software that uses Machine Learning to conduct tasks, mimicking the function of a human brain. With every new task, the AI continues to learn from patterns in the data and thereby gets 'smarter'.  "
artificial intelligence,Machines acting as if they have intelligence and can independently make decisions when in reality they are making predictions based on data that has been previously imported into their systems
artificial intelligence,Training the machine with raw digital materials to collect data and generate a database which the algorithm can latter rely on to produce desirable results.
artificial intelligence,"Artificial intelligence is kind of the ""end goal"" of machine learning. In a similar sense as humans, there's no real end of learning and knowledge for what can be taught to ML models and algorithms. Artificial intelligence comes to be when machine learning is able to predict and achieve desired outcome or behaviors with relatively high success rate."
artificial intelligence,A very intelligent technology (like a robot) that we can communicate with. We can store an enormous information that a human brain won't be enough to remember the information and pull them out just when we need it. 
kitty,I don't know. 
kitty,the whiskers of a kitty cat
kitty,It sounds like the name of some sort of cats
kitty,It sounds like the name of some sort of cats
kitty,The whiskers of a kitty. Or like a python library? I don't know.
kitty,Long hairs on the side of a cat's nose.
kitty,A program that Aaron wrote to monitor his pet cats while he's away on vacation.
kitty,??????? My guess would have to be something related to like outliers in statistical models? I have no idea.
kitty,something I need to use google translate to find out
kitty,"Translucent, sometimes spiky threads on or around a cat's nose/mouth area."
kitty,No idea. Little cats???
kitty,Kitty whiskers is the cute name given to the long hairs that come out of a cats face. 
kitty,Artificial intelligence for kitty? Not sure...
kitty,i have no idea... whiskers on a baby cat?
kitty,A tool that allows sensing of environment; more specifically to check if the head and body of the kitty can fit through an opening.
kitty,=.=
kitty,"the long, thick hairs that protrude from a young cat's nose and mouth area"
kitty,lil hairs on a feline face that act as sensors
kitty,a cats width perception device. 
kitty,?
kitty,A method by which kitties sense the world and respond. 
kitty,Wispy white/clear hairs above a cat's mouth/around the nose area 
kitty,I really dont know. But probably something to do with kitties ! 
kitty,Kitten drinking whiskey and running drunk.
kitty,"i have no idea. With AI, kitty can do something?"
kitty,"external sensory organ of the cat, hair-like."
kitty,Sensitive object detection sensory for the computer? 
kitty,Program that allows you to search for cute cat images :)
kitty,Mmmm not sure... sorry Aaron 
kitty,"Kitty is a diminutive term for an infant cat. Whiskers are the part of a cat that protrude from its face around its nose, and resemble long hairs. Therefore the term means the hair around the nose of an infant cat. "
kitty,I don't know what it means :( 
kitty,i heard about this today for the first time. A cat protector?
kitty,"lines come out of cats' chicks. They are white or black, thin, they grow and they eventually fall out."
kitty,The set of hairs (usually symmetrical on left and right) that come between a kitty’s nose and mouth. 
kitty,hair growing near the mouth of a young cat.  or a group of young kittens beating raw eggs.
kitty,feelers
kitty,spokes of a wheel where each spoke is attached to other spokes/wheels
kitty,a way to find out what's going on around you (with limitations)
kitty,The hair strands on the face of a baby cat
kitty,guessing it's like a very early trigger to make something react before you tell it to
kitty,"Cats use their whiskers to detect movements + explore spaces, kind of like a navigational tool – I would assume kitty whiskers in ML are tools to stear the learning in the ""right"" direction?"
kitty,hair on the cheeks of a feline that are stiff
kitty,"Whiskers belonging to one cat or several cats, which may or may not be kittens. "
kitty,A cat's type of very sensitive hair around the snout
kitty,"the three long hairs that cats grow on either sides of their cheeks, which they use to measure distance and without which they have difficulty maintaining a sense of balance"
kitty,cat mustache
kitty,the whiskers on your cat (I know this probably pertains to something in coding but I honestly have no idea what it is) 
kitty,kitty + whiskers _do not know what is that actually)
kitty,"Whiskers on cats?? Not sure... If it is a ML-specific term, I would guess some type of tree structure that involves branching?? "
kitty,"I honestly have not heard of this before! Apart from the English language meaning of ""cats"" and ""whiskers"", I really don't know in which direction to think; although in context of this class it is obviously related to ML - maybe a training model or a dateset?"
kitty,"Sorry, I don't know what is ""kitty whiskers""."
kitty,those vexing hairs that get in the way of your licking something
kitty,"part of the ""organ"" of a cat that could sense the outside world"
kitty,Hair like protrusions that come from either of a cats snout and serve some sort of sensory process I'm not too sure about. 
kitty,A cute fluffy animal lol
kitty,little cat
kitty,baby cat! I guess I saw a kitty cat on your shoulder few minutes ago :)
kitty,a cat?
kitty,baby cat vs general saying a creature?
kitty,"fluffy creature filled simultaneously with mischief, pointy things, and cuddles"
kitty,cute mammals with tip ears and a tail
kitty,a new AI virtual cat that promises it will never die and lick your toes as much as you want
kitty,Japanese cartoon character
kitty,"baby feline animal ; ""meow"""
kitty,oh thats a adorable little cat
kitty,cat that lives at home
kitty,"a cute name for a little cat, usually a house pet "
kitty,my roomate
kitty,__ a fun way to call cat?
kitty,"Cute, domesticated feline. Likes pets and treats."
kitty,"ML related - I can’t relate it to anything I know, otherwise - a small cat?"
kitty,A term of endearment for a cat
kitty,"kitty cat, as opposed to just ""cat"" or ""kitty"" has an emotive element involved. It refers to a cat of course, a feline domestic pet, but referring to it as ""kitty cat"" means calling on it with more excitement :o"
kitty,a small feline mammal
kitty,the true overlord of the house
kitty,A kind of animal
kitty,Its a cat's name
kitty,"Small four-legged fluffy animal, short fur, sharp standing ears, long rounded tail."
kitty,"My gut tells me that this is the name of a Python code to repeat something, but what I can actually only say is that it's a cute baby cat (the animal, not the code!)"
kitty,Baby name for a kitten 
kitty,honestly have no clue haha 
kitty,The cat s that are small in size with younger ages.
kitty,"If it is the same as ""Hello Kitty"", it is a character in the cat cartoon that young girls love."
kitty,"Kitty cat is a feline animal that is still in its younger years. This is also a loving name that people like to use instead of ""kitten"" to express affection towards the animal."
kitty,It is a cat-shape cartoon character. It wears a red bowknot and white color. 
kitty,Kitty cat is an oxymoron of the word cat using a more informal version of the word - kitty to emphasize its meaning
kitty,"from the kid's song ""kitty cat, kitty cat, where are you?"" a term of endearment/affection for a cat, small cat, kitten, real and/or imaginary, of bodegas or tv or even to encompass/describe  behavior similar to that of a cat, small cat, kitten etc. sometimes I tell my dog she is acting like a kitty cat "
kitty,a furry four legged creature typically having pointed ears and whiskers
