term,definition
artificial intelligence,"Artificial intelligence is defined differently depending on who is defining it. It refers to the capability of a machine to think intelligently - defined as the capability to think creatively, teach itself and/or modify its own code."
artificial intelligence,Artificial intelligence is the skill of a non human object to use learned experience in order to to do something including the skill to improve this  experience by self learning.
artificial intelligence,"The algorithm can be trained, adapted and can come up with decision based on trained data"
artificial intelligence,"Setting up computers to make decisions, based on inputs and logic that someone thinks is relevant."
artificial intelligence,The more intelligent older sibling to ML
artificial intelligence,"a highly advanced virtual robot, able to handle various complex tasks"
artificial intelligence,"The computer learns from the code it is given, allowing it to recognize certain things later without hardcoding everything"
artificial intelligence,"I use the terms Ai and ML interchangeably, but Ai would be when we use the final prediction to help us make a decision. "
artificial intelligence,A thinking machine/algorithm
artificial intelligence,it is a kind of thinking way or problem-solving skill that presented by machines which trained to think like humans by human being itself 
artificial intelligence,"The process of feeding data into a computer that has been calibrated with a set of variabled and structures, where the computer progressively refines and corrects its processing of the data with each subsequent new piece of information."
artificial intelligence,"The technological domain which enabled and prompted the making of ""smart"" and ""intuitive"" machines. Humans acted on the very humane characteristic - to find/create/imagine entities that are larger than us and life itself - and backed by science, went above and beyond to make ""man-made"" objects that are intelligent."
artificial intelligence,AI is when a program is able to learn and expand the set of situations it can respond to by non-explicit instruction
artificial intelligence,"""Artificial intelligence"" describes several aspirational projects. Current ML techniques constitute ""narrow artificial intelligence"" useful for making inferences from data. ""Artificial general intelligence (AGI)"" describes the aspiration of the emulation of human intelligence. ""Artificial superintelligence (ASI)"" describes the enterprise of exceeding human intelligence. However, there does not exist a consensus on the definition of intelligence, which makes a precise understanding of these comparative definitions difficult.
"
artificial intelligence,a type of intelligence found in machines created by using algorithms combined with big data and then reinforced or improved by training
artificial intelligence,"Used synonymous to ML in many cases. But if I had to differentiate, I would say that AI is the composition of many Machine Learning algorithms to simulate some type of intelligent behavior, which would be a type of interaction with the world that requires a level of processing. "
artificial intelligence,a synthetic entity that reacts and makes decisions based on a grow library of data; it does not generally behave emotionally
artificial intelligence,The learning of new programming behaviors and responses based on prior experience. 
artificial intelligence,Artificial intelligence is any number of means by which inorganic entities can imitate or surpass the adaptive abilities of human beings
artificial intelligence,"Machines, using computational power, are able to sort through data, learn the pattern these data signify, and generate new data from the pattern"
artificial intelligence,"In my opinion, AI is a kind of data-base assistant which can increase the efficiency and accuracy in many fields."
artificial intelligence,"I would define intelligence as the ability to react (in some cases deliberately) to inputs and have them trigger input-specific behaviour/reactions. I would also say that the realm of what AI can be is rather large and probably includes machines that we might not describe as ""smart"" yet somehow still possess a form of pre-programmed intelligence)"
kitty whiskers,I don't know. 
kitty whiskers,the whiskers of a kitty cat
kitty whiskers,It sounds like the name of some sort of cats
kitty whiskers,It sounds like the name of some sort of cats
kitty whiskers,The whiskers of a kitty. Or like a python library? I don't know.
kitty whiskers,Long hairs on the side of a cat's nose.
kitty whiskers,A program that Aaron wrote to monitor his pet cats while he's away on vacation.
kitty whiskers,??????? My guess would have to be something related to like outliers in statistical models? I have no idea.
kitty whiskers,something I need to use google translate to find out
kitty whiskers,"Translucent, sometimes spiky threads on or around a cat's nose/mouth area."
kitty whiskers,No idea. Little cats???
kitty whiskers,Kitty whiskers is the cute name given to the long hairs that come out of a cats face. 
kitty whiskers,Artificial intelligence for kitty? Not sure...
kitty whiskers,i have no idea... whiskers on a baby cat?
kitty whiskers,A tool that allows sensing of environment; more specifically to check if the head and body of the kitty can fit through an opening.
kitty whiskers,=.=
kitty whiskers,"the long, thick hairs that protrude from a young cat's nose and mouth area"
kitty whiskers,lil hairs on a feline face that act as sensors
kitty whiskers,a cats width perception device. 
kitty whiskers,?
kitty whiskers,A method by which kitties sense the world and respond. 
kitty whiskers,Wispy white/clear hairs above a cat's mouth/around the nose area 
kitty whiskers,I really dont know. But probably something to do with kitties ! 
kitty whiskers,Kitten drinking whiskey and running drunk.
kitty whiskers,"i have no idea. With AI, kitty can do something?"
kitty whiskers,"external sensory organ of the cat, hair-like."
kitty whiskers,Sensitive object detection sensory for the computer? 
kitty whiskers,Program that allows you to search for cute cat images :)
kitty whiskers,Mmmm not sure... sorry Aaron 
kitty whiskers,"""Kitty"" is a diminutive term for an infant cat. Whiskers are the part of a cat that protrude from its face around its nose, and resemble long hairs. Therefore the term means the hair around the nose of an infant cat. "
kitty whiskers,I don't know what it means :( 
kitty whiskers,i heard about this today for the first time. A cat protector?
kitty whiskers,"lines come out of cats' chicks. They are white or black, thin, they grow and they eventually fall out."
kitty whiskers,The set of hairs (usually symmetrical on left and right) that come between a kitty’s nose and mouth. 
kitty whiskers,hair growing near the mouth of a young cat.  or a group of young kittens beating raw eggs.
kitty whiskers,feelers
kitty whiskers,spokes of a wheel where each spoke is attached to other spokes/wheels
kitty whiskers,a way to find out what's going on around you (with limitations)
kitty whiskers,The hair strands on the face of a baby cat
kitty whiskers,guessing it's like a very early trigger to make something react before you tell it to
kitty whiskers,"Cats use their whiskers to detect movements + explore spaces, kind of like a navigational tool – I would assume kitty whiskers in ML are tools to stear the learning in the ""right"" direction?"
kitty whiskers,hair on the cheeks of a feline that are stiff
kitty whiskers,"Whiskers belonging to one cat or several cats, which may or may not be kittens. "
kitty whiskers,A cat's type of very sensitive hair around the snout
kitty whiskers,"the three long hairs that cats grow on either sides of their cheeks, which they use to measure distance and without which they have difficulty maintaining a sense of balance"
kitty whiskers,cat mustache
kitty whiskers,the whiskers on your cat (I know this probably pertains to something in coding but I honestly have no idea what it is) 
kitty whiskers,kitty + whiskers （do not know what is that actually)
kitty whiskers,"Whiskers on cats?? Not sure... If it is a ML-specific term, I would guess some type of tree structure that involves branching?? "
kitty whiskers,"I honestly have not heard of this before! Apart from the English language meaning of ""cats"" and ""whiskers"", I really don't know in which direction to think; although in context of this class it is obviously related to ML - maybe a training model or a dateset?"
kitty whiskers,"Sorry, I don't know what is ""kitty whiskers""."
kitty whiskers,those vexing hairs that get in the way of your licking something
kitty whiskers,"part of the ""organ"" of a cat that could sense the outside world"
kitty whiskers,Hair like protrusions that come from either of a cats snout and serve some sort of sensory process I'm not too sure about. 
machine learning,Machine do the work for me.
machine learning,"The process of teaching a computer over iteration how to ""think""/process"
machine learning,Machine learning is using quantitative data classification and analysis to help people better making descions.
machine learning,Training machine to understand human's cognition.
machine learning,the use of algorithms to inform a program of its next action or to manipulate data for a single purpose
machine learning,machine learning is the process of analyzing data in order to synthesize a result or prediction.
machine learning,training to predict
machine learning,synthetically adjusting future behaviors based on past mistakes to reach a certain desired outcome
machine learning,A series of algorithmic procedures that process certain input and produce certain output
machine learning,The process of artificial programs' iteration on better understanding/predicting a defined domain
machine learning,Some results that came out from the machine with the input data and ordered algorism.
machine learning,the ability for the machine to infer information / meaning from the data on its own
machine learning,Using algorithms to have a machine recognize patterns in a data set
machine learning,finding patterns based on large amount of data
machine learning,It could be a form of information or knowledge that have been trained by human intelligence.
machine learning,"Machine Learning is creating patterns for machines (AI), which allow them to predict user behavior and improve the initial model they use"
machine learning,"Humans are believed to be born with a ""natural intelligence"" if you will. It led them to build devices that were theorized to act on their behalf. These devices got really sophisticated and eventually were given an intelligence of their own so they could carry out certain functions internally without needing routine check-ins from the outside world. They were made to act as humans, collecting informations, making decisions, and executing them independently. That would be what I call machine learning."
machine learning,computers/AI can learn from users' experience by algorithms and models
machine learning,A method to generate results from applying different statistical computations based on a certain dataset
artificial intelligence,machine imitate human
artificial intelligence,Teaching a computer how to behave on its own accord using a certain set of rules and experiences.
artificial intelligence,a synthetically created thing that can learn
artificial intelligence,computer program that is operating without set of instructions (ability to learn on itself and made its own decisions without human intervention)
artificial intelligence,Intelligence from computational result.
artificial intelligence,a technique to simulate human-beings' learning process
artificial intelligence,A series of algorithmic procedures designed to think like a human or think better than a human
artificial intelligence,human made computer systems that can act like human?
artificial intelligence,"an attempt at allowing a machine to teach itself how to complete a task, occasionally with mixed results."
artificial intelligence,"I may have jumbled the definition of AI with machine learning, as seen in the previous response. I do believe that AI is a more advanced form of machine learning, which could be seen as the foundation upon which AI gets built. Both belong to the same branch of computer automation."
artificial intelligence,technology models that are trained thoroughly in multiple facets that are able to interact back with us
artificial intelligence,Artificial intelligence is a process of work by a machine in a framework that has been created by Human.
artificial intelligence,Intelligence created by human which can be utilized with code to fulfill the purpose.
artificial intelligence,"Technology that mimics the intelligence of a person by utilizing machine learning to educate itself, thus having a sense of 'intelligence' by 'improving' by itself."
artificial intelligence,"The ability of computer software to implement, create and update specific models"
artificial intelligence,"Using technology/machine learning/data science to mimic ""intelligence"" or ability to solve a problem that we find in living organisms (like animal's ability to think, but plants, fungi, etc. also posses intelligence)."
artificial intelligence,AI is using repetitive machining learning process to help machine building their own knowledge system to mimic real humanbeings.
artificial intelligence,"same with ML, but with more computation powers and complex datasets"
artificial intelligence,An idea/practice of human made entities with abilities to make better judgements literably
kitty cat,A cute fluffy animal lol
kitty cat,little cat
kitty cat,baby cat! I guess I saw a kitty cat on your shoulder few minutes ago :)
kitty cat,a cat?
kitty cat,baby cat vs general saying a creature?
kitty cat,"fluffy creature filled simultaneously with mischief, pointy things, and cuddles"
kitty cat,cute mammals with tip ears and a tail
kitty cat,a new AI virtual cat that promises it will never die and lick your toes as much as you want
kitty cat,Japanese cartoon character
kitty cat,"baby feline animal ; ""meow"""
kitty cat,oh thats a adorable little cat
kitty cat,cat that lives at home
kitty cat,"a cute name for a little cat, usually a house pet"
kitty cat,my roomate
kitty cat,__ a fun way to call cat?
kitty cat,"Cute, domesticated feline. Likes pets and treats."
kitty cat,"ML related - I can�t relate it to anything I know, otherwise - a small cat?"
kitty cat,A term of endearment for a cat
kitty cat,"kitty cat, as opposed to just ""cat"" or ""kitty"" has an emotive element involved. It refers to a cat of course, a feline domestic pet, but referring to it as ""kitty cat"" means calling on it with more excitement :o"
